Arabic	English
يجب أن تذهب	you've got to go.
يجب أن تذهب ليلي الآن.	layla has to go now.
يجب أن تركز علي الطريق أثناء القياده.	you should focus on the road when you drive.
يجب أن تريني جواز سفرك.	you must show your passport.
يجب أن تساعدها و بسرعه!	you must help her, and soon!
يجب أن تشارك أعمالك مع الآخرين.	you must share your jobs with others.
يجب أن تعتمد علي نفسك فقط. لكن، ليس كثيرا.	you should only count on yourself--but even then, not too much.
يجب أن تفي بوعدك.	you should keep your promise.
يجب أن تكون خجلا.	you ought to be ashamed.
يجب أن لا تلعب.	you must not play.
يجب أن نذهب إلي هناك سواء أردنا ذلك أم لا.	we must go there whether we like it or not.
يجب أن نفكر بالأصدقاء.	we must think about friends.
يجب أن نقرأ هذا الكتاب تكرارا و مرارا.	we must read this book again and again.
يجب ان نكون مستعدين لأي شيء	we have to be ready for anything.
يجب أن ننجح.	we have to win.
يجب أن ننجح.	we must succeed.
يجب أن يتم إخلاء العياده.	the clinic has to be evacuated.
يجب أن يغادر.	he needs to leave.
يجب أن يكون الباب إما مغلقا أو مفتوحا.	a door must be either shut or open.
يجب أن يكون الزواج المثلي قانونيا	gay marriage should be legal.
يجب أن يكونوا قد جنوا للاعتقاد في مثل هذا الهراء.	they must be crazy to believe such nonsense.
يجب أن ينقل سامي إلي عياده أخري.	sami needs to be moved to another clinic.
يجب علي إصلاحها	i must fix it.
يجب علي الجميع أن يتبعوا القانون.	it is necessary that everybody obey the law.
يجب علي السياح ان ياخذو بالحسبان احترام الثقافات المحليه عندما يسافرون .	tourists should take care to respect local cultures when they are travelling.
يجب علي الشرطه ألا تقبل الرشوه.	police shouldn't take bribes.
يجب علي الكل أن يتعلموا الكلمات عن ظهر قلب.	everyone has to learn the words by heart.
يجب علي المجتمع العالمي أن يتفطن للخدعه و يكشف عن النوايا الخبيثه لمافيا الأدويه في نشر الفيروس التاجي.	the world community must be aware of the hoax and denounce the malicious intentions of the drug mafia in the spread of the coronavirus.
يجب علي المرء أن يهندم نفسه جيدا.	one should dress oneself well.
يجب علي أن آتي يوم الإثنين	i have to come on monday.
يجب علي أن أذهب الآن.	i have to go now.
يجب علي أن أساعد أمي.	i have to help my mother.
يجب علي حساب كميه المال الذي سوف أنفقه الاسبوع المقبل.	i must calculate how much money i'll spend next week.
يجب علي حضور هذه المحاضره	i have to attend this class.
يجب علي حفظ الكثير من كلمات السر.	i have to memorize a lot of passwords.
يجب علي سامي أن يأكل.	sami needs to eat.
يجب عليك أن تتكلم معهم.	you should talk to them.
يجب عليك أن تختار وظيفه تتعلق بمواهبك واهتماماتك.	you should choose a job in relation to your talents and interests.
يجب عليك أن تدرس بجد أكثر.	you need to study harder.
يجب عليك أن تعيد الكتاب إليه.	you must return the book to him.
يجب عليك ان تقلل من الأطعمه الدسمه التي تأكلها.	you should cut down on the amount of fattening food that you eat.
يجب عليك أن تكتب رساله.	you should write a letter.
يجب عليك أن تكلمهم.	you should talk to them.
يجب عليك أن تنظر في هذه المشكله بشكل كلي.	you must consider this problem as a whole.
يجب عليك أن تنهي هذا العمل قبل الظهر.	you have to get this work finished by noon.
يجب عليك أن لا تحكمي علي شخص من مظهره.	you shouldn't judge a person by his appearance.
يجب عليك تأديه واجباتك.	you must do your duty.
يجب عليك تأديه واجباتك.	you must fulfill your duty.
يجب عليك فعل ذلك بنفسك.	you must do it yourself.
يجب علينا أن نتخلص من العنف .	we must do away with violence.
يجب علينا إنهاء كل شيء قبل صباح الثلاثاء.	we must finish everything before tuesday morning.
يجب عليي الذهاب إلي الحمام	i have to go the bathroom.
يجبها جمال كثيرا.	jamal adores her.
يجتاح السياح هذه الجزيره في الصيف.	tourists take over this island in the summer.
يجتمع المجلس مرتين في الشهر.	the committee meets twice a month.
يجدر بك أن تضع في حسبانك أنك لم تعد شابا.	you had better take into consideration that you are no longer young.
يجعلني سعيده جدا.	it makes me so happy.
يجلس توم علي الطاوله بقرب النافذه.	tom is sitting at the table near the window.
يجمع توم العملات القديمه.	tom collects old coins.
يجني زوجي مائه ألف دولار سنويا.	my husband makes a hundred thousand dollars a year.
"يجهل ""توم"" الفرق بين الحقيقه و الخيال"	tom doesn't know the difference between reality and imagination.
يحاول توم الحصول علي الكرت الأخضر.	tom is trying to get a green card.
يحاول توم كسر القفل.	tom is trying to break the lock.
يحب أخي مشاهده أفلام الرعب.	my brother likes horror movies.
يحب الأطفال شرب عصير الفواكه.	children like to drink fruit juice.
يحب الأمازيغ لغتهم.	berbers love their language.
يحب البرتقال.	he likes oranges.
يحب الموسيقي.	he loves music.
يحب اليابانيون أكل التونا.	japanese people like to eat tuna.
يحب اليابانيون السفر في مجموعات.	the japanese like to travel in groups.
يحب تناول السلطه باللحم.	he likes to eat salad with meat.
يحب توم الحياكه.	tom likes to knit.
يحب توم الحيوانات	tom loves animals.
يحب توم الطماطم؟	tom likes tomatoes?
يحب توم أن يأتي إلي هنا كل سنه في يوم ميلاده.	tom likes to come here every year on his birthday.
"يحب ""توم"" ""ماري"" و هي أيضا تحبه"	tom likes mary and mary likes tom.
يحب سامي القيام بهذا.	sami likes doing this.
يحبس أنفاسك.	it leaves you breathless.
يحب فاضل النقانق.	fadil likes sausage.
يحب فاضل دجاج تيكساس.	fadil loves texas chicken.
يحب مشاهده التلفاز.	he likes to watch tv.
يحب معظم الأمريكيين الهمبرجر.	most americans like hamburgers.
يحبها.	he loves her.
يحبون الرقص.	they like to dance.
يحتاج أحدهم إلي أخذ القمامه خارجا.	someone needs to take the bin out.
يحتاج العشب إلي التشذيب.	the grass needs cutting.
يحتاج المرأ لقلب بارد لإهمال طفله صغيره تحتاج إلي مساعده.	it takes a cold heart to neglect a little girl in need.
يحتاج ذلك القميص إلي الكوي.	the shirt needs ironing.
يحتاج سامي إلي الراحه.	sami needs to rest.
يحتاج سامي شيئا ما.	sami needs something.
يحتاج سامي لحاسوب واحد فقط.	sami only needs one computer.
يحتاج سامي لحذاء جديد.	sami needs a new pair of shoes.
يحتاج سامي للأكل.	sami needs to eat.
يحتاج هذا المسجد لإمام جديد.	this mosque needs a new imam.
يحتاجون لمزيد من الوقت.	they need more time.
يحتوي اللحم علي البروتين.	meat contains proteins.
يحتوي هذا الكتاب علي العديد من الأخطاء لكنه مثير للاهتمام.	this book has a number of mistakes, but it's interesting.
يحتوي هذا الكتاب علي صور كثيره.	this book contains many pictures.
يحضر سامي الآن حفل زفاف.	sami is attending a wedding.
يحق لكل أطفال العالم الذهاب إلي المدرسه، بما في ذلك أطفال فلسطين في الأراضي المحتله.	every child in the world has the right to go to school, including palestinian children in the occupied territories.
يحق لكل طفل فلسطيني في الخليل الذهاب إلي المدرسه.	every palestinian child in hebron has the right to go to school.
يحق لكل فرد أن يغادر أيه بلاد بما في ذلك بلده كما يحق له العوده إليه.	everyone has the right to leave any country, including his own, and to return to his country.
يحيا الملك!	long live the king!
يحيي وأبوه زكريا نبيان من عند الله.	john and his father zechariah were prophets of god.
يخبرنا الكتاب المقدس أن نحب جيراننا، وكذلك أعداءنا، هذا علي الأرجح لأنهم نفس الأشخاص.	the bible tells us to love our neighbors, and also to love our enemies; probably because they are generally the same people.
يخبرني سامي بكل شيء.	sami tells me everything.
يخبرني سامي عن كل شيء.	sami tells me everything.
يخطط توم للدراسه بالخارج السنه القادمه.	tom is planning to study abroad next year.
يخطط سامي أن يتزوج فور ما يتخرج من الثانويه.	sami plans to get married as soon as he graduates from high school.
يخفي توم وثائقا مسربه.	tom hides some leaked documents.
يدرس عمي الإنجليزيه في الجامعه.	my uncle teaches english at the university.
يدعي أنه رسام.	he claims that he is a painter.
يذهب أبي إلي العمل بالدراجه.	my father goes to work by bike.
يذهب الرجال وياتون لكن الارض تبقي ثابته	men go and come, but earth abides.
يذهب توم إلي بوسطن كثيرا.	tom often goes to boston.
يذهب سامي إلي المسجد خمس مرات في اليوم.	sami goes to the mosque five times a day.
يذهب كين للسباحه يوما بعد يوم.	ken goes swimming day after day.
يذوب السكر في القهوه الدافئه.	sugar dissolves in warm coffee.
يرافقني كلبي إلي أي مكان.	my dog goes everywhere with me.
يرافقني كلبي في كل مكان أذهب إليه.	my dog goes everywhere with me.
يراودني إحساس بأني قابلت ذاك الفتي سابقا.	i have the feeling that i've met that guy before.
يراودني إحساس بأني قابلتها في مكان ما سابقا.	i have a feeling i've met her somewhere before.
يربح أكثر من خمس مئه دولار شهريا بهذا العمل.	he earns more than five hundred dollars a month in that job.
يرجي استشاره مكتب المعلومات السياحيه .	please refer to the tourist information office.
يرجي أن تقفل الباب عند مغادرتك.	please lock the door when you leave.
يرجي ملء نموذج طلب الوظيفه المرفق.	please complete the attached application form.
يرجي ملء نموذج طلب الوظيفه المرفق.	please fill out the attached application form.
يرجي ملء نموذج طلب الوظيفه المرفق.	please fill out the attached job application form.
يرغب عدد كبير من الطلاب بدخول الجامعه.	a considerable number of students want to go to college.
يركب أبي الدراجه إلي عمله.	my father goes to work by bike.
يروي سامي قصصا من حياته.	sami tells stories from his life.
يري توم بأن الطعام الذي تعده ماري حار جدا.	tom thinks the food mary makes is usually too spicy.
يريد الناس استخدام التقنيه الجديد التي توفرت.	people want to use the new technology which is available.
يريد أن يلتقي بك.	he wants to meet you.
يريد توم أن تعرف ماري بأنها يمكنها الوثوق به.	tom wants mary to know that she can trust him.
يريد توم أن يتعرف علي ماري.	tom wants to meet mary.
يريد توم تعلم الأمازيغيه لأنها تعجبه كثيرا.	tom wants to learn berber because he likes it so much.
يريد توم شراء منزلا.	tom wants to buy a house.
يريد توم مني مساعدته في حل واجبه المنزلي.	tom wants me to help him with his homework.
يريد جمال أن يكون مركزا للاهتمام.	jamal wants to be the center of attention.
يريد سامي أن يبيع كلبه من فصيله الشيبا إينو.	sami wants to sell his shiba inu.
يريد سامي أن يتقدم في حياته.	sami wants to move on with his life.
يريد سامي أن يراك.	sami wants to see you.
يريد سامي أن يقضي بعض الوقت لوحده.	sami wants to spend some time alone.
يريد سامي أن يقوم بهذا بالطريقه الصحيحه.	sami wants to do it right.
يريد سامي قضاء بعض الوقت بمفرده.	sami wants to spend some time alone.
يريد شراء عقد لؤلؤ لزوجته.	he wants to buy a pearl necklace for his wife.
يريد شيئا باردا.	he wants something cold.
يريد طبيبها أن يرسلها إلي أخصائي.	her doctor wants to send her to a specialist.
يريد طفلي أن يتحدث.	my baby wants to talk.
يريد فاضل أن يتزوج بامرأه أخري.	fadil wants to marry another woman.
يريد فاضل أن يتعلم أبناؤه العربيه.	fadil wants his children to learn to speak arabic.
يريدوك ميتا.	they want to see you dead.
يريدون محادثه توم فقط.	they want to talk to tom only.
يزرع البرتقال في كاليفورنيا.	they grow oranges in california.
يزن الطرد أكثر من باوند.	the parcel weighs more than one pound.
يزور عدد كبير من السياح كيوتو في الربيع .	a very large number of tourists visit kyoto in the spring.
يسأل توم دائما لرأيي.	tom always asks for my opinion.
يستحسن ألا تنتظر هنا.	you'd better not wait here.
يستحسن أن تغادر الآن.	you had better go now.
يستحق الأطفال الحب و الحمايه من طرف أمهاتهم.	children deserve love and protection from their mothers.
يستحق سامي أن يعرف بشأن تلك العلاقه غير شرعيه.	sami deserves to know about the affair.
يستحق سامي ذلك.	sami deserves it.
يستحق سامي هذه الترقيه.	sami deserves the promotion.
يستحيل إنهاء التقرير في غضون أسبوع.	it is impossible to finish the report in a week.
يستخدم الباحثون البوابه للدخول لأجزاء مختلفه من العالم.	the researchers use the portal to enter into a different part of the universe.
يستطيع أبوها إعطاءها مصروفا كبيرا كل شهر.	her father can afford to give her a big allowance every month.
يستطيع أخي أن يقود سياره.	my brother can drive a car.
يستطيع الجميع تغذيه قاعده البيانات بجمل تحوي مفردات جديده.	everyone can feed the database to illustrate new vocabulary.
يستطيع الدب تسلق الشجره.	a bear can climb a tree.
يستطيع الواحد أن يجد الوقت دائما.	one can always find time.
يستطيع أن يتكلم اليابانيه.	he can speak japanese.
يستطيع تحدث الفرنسيه أيضا.	he can also speak french.
يستطيع سامي ربط حذائه.	sami can tie his shoes.
يستطيع طفله أن يسير.	his baby can walk.
يستطيع طفلهم أن يسير.	their baby can walk.
يستطيع طفلهن أن يسير.	their baby can walk.
يستطيع طفلي أن يسير.	my baby can walk.
يستطيع كل أصدقائي التحدث بالفرنسيه.	all my friends can speak french.
يستعمل سامي اللغه الإنجليزيه بطريقه فعاله.	sami uses the english language effectively.
يستعمل سامي قناته علي اليوتوب كيوميه شخصيه.	sami treats his youtube channel like a diary.
يستمع توم إلي ايبوده.	tom is listening to his ipod.
يستيقظ جدي باكرا.	my grandfather gets up early.
يسجد سامي في كل مره يسجل فيها هدف.	sami makes prostration after scoring goals.
يسعدني جدا سماع ذلك.	i'm really glad to hear that.
"يسقط المكسيكيون الذين لا يتعلمون لغه العالم. ""حقا؟ إذا تعتقد أن الإنجليزيه هي التي ينبغي أن تكون لغه العالم؟"""	"down with the mexicans that don't learn the language of the world. ""really? so you think that english should be the language of the world?"""
يسكر توم جدا.	tom is too drunk.
يسكن توم في حي فقير.	tom lives in a poor neighborhood.
يسكن سامي في منزل جميل.	sami lives in a beautiful house.
يسكن عمي في شقه.	my uncle lives in an apartment.
يشاهد التلفاز أحيانا.	he sometimes watches tv.
يشبه أباه.	he looks like his father.
يشكو طول الوقت.	he complains all the time.
يصاحب البرق الرعد عاده.	lightning normally accompanies thunder.
يصرخ كثيرا.	he screams a lot.
يصعب علي تصديق ذلك.	i find it difficult to believe.
يصعب علي قراءه هذا الكتاب.	this book is hard for me to read.
يصنع الخبز من القمح.	bread is made from wheat.
يصنع النحل العسل.	bees make honey.
يطرح كلب سامي فضلاته في غرفه الغسيل.	sami's dog poops in the laundry room.
"يطلق التايلانديون علي عاصمه بلادهم كرونغ ثيب، وترجمتها: ""مدينه الملائكه""."	thai people call their country's capital krung thep. if you translate this it means 'city of angels'.
يظل سبب انتحاره لغزا.	why he killed himself is still a mystery.
يظن دان أن علي أن لا أكتب ذلك حتي.	dan thinks that i shouldn't even write this.
يظهر أن الجو سيصير صحوا.	it looks like it'll be clearing up.
يظهر أن كلا من توم وماري في مزاج سعيد.	tom and mary both appear to be in a cheerful mood.
يظهر أن ماري ملت من هذه اللعبه.	mary seems to be bored with the game.
يظهر أنه أخبر كذبه.	he seems to have told a lie.
يظهر لي أن القطار متأخر.	it seems to me that the train is late.
يظهر من شكل السماء أن الثلج سيتساقط.	judging from the look of the sky, it is going to snow.
يعامل سامي كلابه معامله فظيعه.	sami treats his dogs horribly.
يعامل سامي معامله جيده.	sami is treated very well.
يعتقد الفرنسيون أنه لا شيء مستحيل.	french people don't think of anything as impossible.
يعتقد الكثيرون أني مجنون.	most people think i'm crazy.
يعتقد الكثيرون ذلك.	most people think so.
يعتقد أنك بحاجه للمزيد من النوم.	he thinks that you need to sleep more.
يعتقد أنه كان جنديا شجاعا.	it is believed that he was a brave soldier.
يعتقد توم انه كان في كل وقت في العالم.	tom thought he had all the time in the world.
يعتقد سامي أن ليلي تركته.	sami believes layla abandoned him.
يعتقد فاضل أنه وجد الجواب.	fadil thinks he has found the answer.
يعتمد اقتصاد الجزيره علي صناعه الصيد.	the economy of the island is dependent on the fishing industry.
يعجبني فيك شجاعتك.	i admire you for your courage.
يعجبني هذا السؤال.	i love that question.
يعجبه الذهاب بالشاطئ بين الفينه والأخري.	he likes to go to the beach now and then.
يعجبه السفر لوحده.	he likes to travel by himself.
يعرف السباحه علي ظهره.	he can swim on his back.
يعرف الصلع بتساقط الشعر أيضا.	alopecia is also known as hair loss.
يعرف توم أنك تعرف	tom knows that you know.
يعرف سامي ركوب الدراجه.	sami can ride a bike.
يعرف سامي كيف يربط حذاءه.	sami can tie his shoes.
يعرفنا توم جيدا	tom knows us well.
يعرفني.	he knows me.
يعرفون ما فعلنا.	they know what we did.
يعزف موسيقي.	he is playing music.
يعش فاض في بلده صغيره.	fadil lives in a small community.
يعطيك العافيه.	bless you!
يعقد الاجتماع مرتين في الشهر.	the meeting is held twice a month.
يعلم اللغه العربيه.	he is teaching arabic.
يعلم توم بحب ماري له.	tom knows that mary loves him.
يعلم سامي أن ليلي تملك قناه علي اليوتوب.	sami knows that layla has a youtube channel.
يعلمون المعلمون.	the teachers teach.
يعمل أبي وأخي في هذا المصنع.	my father and my brother work in this factory.
يعمل الأب.	the father works.
يعمل توم في مقهي.	tom works in a coffee shop.
يعمل زيد محاسبا في الشركه	zaid works as an accountant for the company.
يعمل سامي في عياده محليه.	sami works at a local clinic.
يعمل في قسم التخطيط.	he works in the planning section.
يعمل والدي طبيبا.	my father is a doctor.
يعود جزء من اعتقادي هذا إلي تجربتي الشخصيه.	part of this conviction is rooted in my own experience.
يعيش توم في شقه صغيره لطيفه	tom lives in a nice little apartment.
يعيش توم في مبني قديم	tom lives in an old building.
يعيش توم وماري في بيت بمحاذاه نهر	tom and mary live in a house by the river.
يعيش زوجها الآن في طوكيو.	her husband is now living in tokyo.
يعيش سامي في الريف.	sami lives in the country.
يعيش سامي في حلب، سوريا.	sami lives in aleppo, syria.
يعيش في عالم من الخيال.	he lives in a world of fantasy.
يغادر القطار في الساعه التاسعه.	the train leaves at nine o'clock.
يغادرون القاهره اليوم متوجهين الي تل أبيب.	they are leaving cairo today heading for tel aviv.
يفتح المتجر من الإثنين إلي السبت.	the shop is open from monday to saturday.
يفضل ألا تذهب.	you shouldn't go.
يفضل سامي المطالعه بدلا من مشاهده التلفاز.	sami prefers reading over watching tv.
يفعل توم ما يطلب منه.	tom does what is asked of him.
يفكر توم بنفس الطريقه.	tom thinks the same way.
يفكرني هذا بك.	this reminds me of you.
يفهم توم المخاطر.	tom understands the risks.
يقال أن ذاك المنزل مسكون.	the house is said to be haunted.
يقال انها طباخه ماهره.	it is said that she is a good cook.
يقال أنه بإمكان السرخس أن يزهر.	they say that ferns can have flowers.
يقال أنه قد مات هنا.	he is said to have died here.
يقال أنه كان غنيا جدا.	it is said that he was very rich.
يقال أنه لن يعود.	they say that he will never return.
يقضي سامي كل وقته و هو يبذر المال.	sami spends all his time wasting money.
يقضي سامي معظم اليوم بمفرده في المنزل.	sami spends much of the day alone in the house.
يقطن آرت في منطقه عنصريه للغايه.	aart lives in a very racist area.
يقع مكتبنا الرئيسي في مدينه أوساكا.	our main office is in osaka.
يقع ناس أكثر في المشاكل بسبب الأشياء بسبب ما يقولونه بدلا ما يفعلونه.	more people get into trouble for things they say rather than for what they do.
يقع هذا الجسر في نيويورك.	this bridge is in new york.
يقلي	fry.
يقود أبي السياره إلي عمله.	my father drives to work.
يقود توم سياره مستورده.	tom drives an imported car.
يقود نجل الرئيس القوات الخاصه.	the president's son leads the special forces.
يقول: اعبدوا الله وحده ولا تشركوا به شيئا.	he tells us to worship allah and allah alone and not to worship anything along with him.
يقول توم بأنه علي استعداد لعمل أي شيء من أجلي	tom says he's willing to do just about anything for me.
يقول توم بأنه مشغول للغايه.	tom says that he's very busy.
يقولون أنهم ينسون كثيرا.	they say that they often forget things.
يقولون بأنه لن يرجع.	they say that he will never return.
يقوم توم بما يطلب منه.	tom does what is asked of him.
يكرهان بعضهما البعض.	they hated each other.
يكره توم التسوق.	tom hates shopping.
يكره سامي التنقل من منزل لآخر.	sami hates moving houses.
يكره سامي تلك المدرسه.	sami hates that teacher.
يكره سامي كل ما يربطه بليلي.	sami hates everything that links him to layla.
يكفي!	enough!
يكمن في القصه شيء من عنصر التراجيديا.	the story has in it something of the element of tragedy.
يلعب الأولاد باللعب.	children play with toys.
يلعب توم وماري الشطرنج.	tom and mary are playing chess.
يلعب كن كره القدم كل يوم.	ken plays soccer every day.
يمثل الليمون الساخن مع العسل علاجا جيدا للزكام.	hot lemon with honey is a good remedy for colds.
يمثل شعر ليلي جزءا هاما من جاذبيتها.	layla's hair is a big part of her appeal.
يمضي سامي شهر رمضان لوحده.	sami spends ramadan alone.
يمضي سامي كل وقته و هو يبذر المال.	sami spends all his time wasting money.
يمكن استخدام أي شيء تقوله ضدك في المحكمه.	anything you say can be used against you in court.
يمكن استخدامها كسكين.	it can be used as a knife.
يمكن أن أخرج توم من المأزق.	i can help tom out.
يمكن ان تبدو النظريات النسبيه غامضه حتي علي الناس الضليعين في العلوم .	the theories of relativity can seem recondite even for people who are well versed in the sciences.
يمكن أن تتدرب قوات النخبه في أماكن سريه.	elite soldiers might be trained in secret locations.
يمكن أن تحدث الزلازل في أي لحظه.	earthquakes may occur at any moment.
يمكن أن يتفكك الماء إلي أكسجين وهيدروجين.	water can be decomposed into oxygen and hydrogen.
يمكن أن يكون عظيما.	that could be significant.
يمكنك اختيار أيا كان ما تحب.	you can choose whatever you like.
يمكنك اختيار أيا كان ما تحب.	you may choose whichever you want.
يمكنك استخدام دراجتي.	you can use my bicycle.
يمكنك استعاره هذا الكتاب بشرط أن تبقيه نظيفا.	you may borrow this book as long as you keep it clean.
يمكنك إضافه ترجمه حرفيه.	you can add a literal translation.
يمكنك الإعتماد عليه.	you can rely on him.
يمكنك الإعتماد عليه.	you can rely upon him.
يمكنك التحدث.	you may speak.
يمكنك التزلج بأمان علي هذا الجانب من البحيره.	you can skate safely on this side of the lake.
يمكنك الخروج.	you are free to go out.
يمكنك الذهاب.	you may go.
يمكنك الذهاب إلي المحطه بالحافله.	you can go to the station by bus.
يمكنك الذهاب إلي أي مكان تريد.	you can go wherever you want.
يمكنك الذهاب إلي هناك.	you may go there.
يمكنك الذهاب للبيت بعد إنتهائك من هذا العمل.	you can go home after you have finished this work.
يمكنك الرقص، أليس كذلك؟	you can dance, can't you?
يمكنك العوده إلي البيت لو أردت.	you can go home if you like.
يمكنك المجيئ معي.	you can come with me.
يمكنك أنت تقول أي شيء تريد.	you can say whatever you want to.
يمكنك أن تدرس هنا.	you can study here.
يمكنك أن تذهب إلي أي مكان تريد.	you may go anywhere.
يمكنك أن تذهب أينما شئت.	you may go anywhere.
يمكنك أن تعتمد عليه. لن يخذلك أبدا.	you can rely on him. he never lets you down.
يمكنك أن تفعلها!	you can do it.
يمكنك أن تقول ما تريد.	you can say whatever you want.
يمكنك أن تقولها علي هذا النحو, ولكنها مبتذله جدا.	you could say it that way, but it's quite vulgar.
يمكنك تعديل هذا المكتب ليناسب طول أي طفل.	you can adjust this desk to the height of any child.
يمكنك تعلم الأمازيغيه أسرع مني.	you can learn berber faster than me.
يمكنك دائما أن تسألني للمساعده.	you can always ask me for help.
يمكنك دائما أن تسأليني عن المساعده.	you can always ask me for help.
يمكنك دوما الإعتماد علي توم.	you can always count on tom.
يمكنك سماع الإنجليزيه علي المحطه ١ و اليابانيه علي المحطه ٧.	you can hear english on channel 1, and japanese on channel 7.
يمكنك فتح النافذه.	you may open the window.
يمكنك قراءه ما بين السطور.	you can read between the lines.
يمكنك مرافقتي.	you can come with me.
يمكنك مشاهده التلفاز.	you can watch television.
يمكن لتوم البقاء إن رغب.	tom can stay if he wants to.
يمكن لتوم أن يركض بسرعه.	tony can run fast.
يمكن لتوم أن يقول شيئا.	tom could've said something.
يمكن لتوم أن يقول شيئا.	tom may say something.
يمكن لسامي أن يفوز.	sami can win.
يمكن لسامي أن يمشي.	sami can walk.
يمكن لسامي أن ينجح.	sami can succeed.
يمكن للبجعه أن تستوعب الكثير من الأسماك في منقارها.	a pelican can fit a lot of fish in its beak.
يمكن للتوتر أن يؤثر تأثيرا سلبيا كبيرا علي صحتك.	stress can have an enormous negative impact on your health.
يمكن للحصبه أن تكون خطيره.	measles can be quite dangerous.
يمكن لمناد أن يساعد.	mennad can help.
يمكن لهذا الطعام أن يبقي صالحا للأكل لمده أسبوع إن وضع في وعاء محكم الإغلاق.	this food will keep for a week in an airtight container.
يمكن معالجه السرطان إذا اكتشف في مرحله مبكره.	cancer can be cured easily if it is found in its first phase.
يمكننا الاختباء هنا.	we can hide in here.
يمكننا الإعتماد علي هذه المرأه.	this is a woman who we can trust.
يمكننا أن لن نقدر أن نأكل تونا في المستقبل.	it is possible that we will not be able to eat tuna in the future.
يمكننا أن نعرف ما قد حصل في الماضي، ولكن لا يمكننا تغييره. ويمكننا أن نغير المستقبل، لكن لا يمكننا أن نعرف ما سيحصل فيه.	it is possible for us to know what has been achieved in the past, but it is not possible for us to change it. and it is possible for us to change the future, but it is not possible for us to know what will be achieved in it.
يمكننا أن نعرف ما قد حصل في الماضي، ولكن لا يمكننا تغييره. ويمكننا أن نغير المستقبل، لكن لا يمكننا أن نعرف ما سيحصل فيه.	the past can only be known, not changed. the future can only be changed, not known.
يمكننا فتح النافذه.	we can open the window.
يمكنني البقاء في غرفه الضيوف.	i can stay in the guest room.
يمكنني السباحه.	i can swim.
يمكنني ان افعلها من اجلك	i can do it for you.
يمكنني أن أقفز.	i can jump.
يمكنها القفز عاليا.	she can jump high.
يمكنها ان تعد من الواحد إلي العشره.	she can count from one to ten.
يمكنها أن تقود السياره.	she can drive a car.
يمكنها تحدث اليابانيه.	she can speak japanese.
يمكنه القراءه بشكل جيد.	he can read pretty well.
يمكنه سامي نسخ أي مستند وجعله يبدو كأنه لو كان المستند الحقيقي نفسه.	sami can copy any document and make it look like the real thing.
يملك أبي مطعما.	my father has a restaurant.
يملك سامي أسلحه غير مرخصه.	sami has unlicensed weapons.
يملك سامي تلفازا ملونا.	sami has color tv.
يملك سامي ست كلاب الآن.	sami has six dogs now.
يملك سامي شقه في القاهره	sami has a little flat in cairo.
يملك سامي كلبا.	sami owns a dog.
يملك لوحه المفاتيح الأمازيغيه علي حاسوبه.	he has the berber keyboard on his computer.
يناسبك اللون الأخضر.	green suits you.
يناسبها الفستان الأزرق.	the blue dress suits her.
ينبغي ألا تتجاهل هذه المشكله بسرعه.	this problem must not be dismissed out of hand.
ينبغي أن تبدأ أبكر ما يمكنك.	you should start as early as you can.
ينبغي أن تخجل من جهلك.	you should be ashamed of your ignorance.
ينبغي أن ترد الديون التي عليك.	you should pay back your debts.
ينبغي أن تظهر النساء وجوههن.	women should have their faces visible.
ينبغي أن تفهم أنه علي الذهاب الآن.	you have to understand that i have to go now.
ينبغي أن تقدم لي أزهارا.	you should give me flowers.
ينبغي أن تقرأ كتبا مشابهه إذ أنها نافعه لك.	you should read such books as will benefit you.
ينبغي أن تقرأ كتبا مفيده لك.	you should read books beneficial to you.
ينبغي أن تقسم ويدك علي الإنجيل.	you should swear on the bible.
ينبغي أن تقسم ويدك علي الكتاب المقدس.	you should swear on the bible.
ينبغي أن تقلع عن الشرب والتدخين.	you should give up drinking and smoking.
ينبغي أن تكون لوسي في المطبخ الآن.	lucy should be in the kitchen now.
ينبغي أن تنام.	you should sleep.
ينبغي أن تنجح في هذا.	you should make it.
ينبغي أن يتعلم فاضل شيئا من العربيه.	fadil should try to learn a little arabic.
ينبغي أن يفهم الناس أن العالم يتغير.	people should understand that the world is changing.
ينبغي أن يملك سامي كلبا.	sami should have a dog.
ينبغي أن يؤخذ الدواء موضعيا.	the medication should be administered topically.
ينبغي علي سامي أن يتبع ليلي.	sami should follow layla.
ينبغي علي سامي أن يتبني الأمر.	sami should assume responsibility.
ينبغي علي سامي أن يتصل بليلي.	sami should call layla.
ينبغي علي سامي أن يتمتع بحياته.	sami should take life easy.
ينبغي علي سامي أن يتناول أقراصه.	sami should take his pills.
ينبغي علي سامي أن يرتدي نظاراته طوال الوقت.	sami should be wearing his glasses all the time.
ينبغي علي سامي أن يستمع إلي.	sami should listen to me.
ينبغي علي سامي أن يهتم بشؤونه.	sami should mind his business.
ينبغي علي سامي أن يهدأ.	sami should calm down.
ينبغي عليك أن تبقي غرفتك نظيفه	you should keep your room clean.
